score,decision,prep,n_obs,source_dataset,source_food_id,description,reasons
0.0,drop,other,19,sr28,21486,"Fast foods, taco with beef, cheese and lettuce, soft",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,26,sr28,18927,"Crackers, cheese, sandwich-type with cheese filling",-dish/prepared -multi-ingredient
0.0,drop,other,29,fdc_sr_legacy,170311,"Fast foods, submarine sandwich, steak and cheese on white bread with cheese, lettuce and tomato",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,28,sr28,36017,"Restaurant, family style, macaroni & cheese, from kids' menu",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,23,sr28,21082,"Fast foods, taco with beef, cheese and lettuce, hard shell",-fastfood/babyfood/restaurant -dish/prepared -multi-ingredient
0.0,drop,other,23,sr28,21294,"PIZZA HUT 14"" Cheese Pizza, Pan Crust",-brand -dish/prepared
0.0,drop,other,21,fdc_sr_legacy,173283,"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",-brand -dish/prepared
0.0,drop,other,23,fdc_sr_legacy,172051,"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",-brand -dish/prepared
0.0,drop,other,24,sr28,21277,"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",-brand -dish/prepared
0.0,drop,other,23,fdc_sr_legacy,173291,"PIZZA HUT 14"" Cheese Pizza, Pan Crust",-brand -dish/prepared
0.0,drop,other,27,fdc_sr_legacy,169770,"Macaroni and cheese, box mix with cheese sauce, prepared",-dish/prepared -multi-ingredient
0.0,drop,other,27,fdc_sr_legacy,169037,"OLIVE GARDEN, cheese ravioli with marinara sauce",-dish/prepared -multi-ingredient
0.0,drop,other,28,fdc_sr_legacy,169839,"Restaurant, family style, macaroni & cheese, from kids' menu",-fastfood/babyfood/restaurant -dish/prepared
0.0,drop,other,8,sr28,11392,"Potatoes, hash brown, frozen, with butter sauce, unprepared",-dish/prepared -multi-ingredient
0.0,drop,other,24,sr28,21520,"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",-fastfood/babyfood/restaurant -multi-ingredient
