food_id,nutrient_id,source,source_food_id,source_food,param,value,n,min,max,cv_wan,source_refs
10013,1004,FCDB 6.1,742,"Liver, ox, raw",Fat,3.03823529411765,51,1.4,5.0,0.263202,"1818, 1070, 1840"
10013,1007,FCDB 6.1,742,"Liver, ox, raw",Ash,1.355,48,1.29,1.8,0.084482,"1070, 1840"
10013,1051,FCDB 6.1,742,"Liver, ox, raw",Water,71.95,48,68.2,74.5,0.019654,"1070, 1840"
10013,1087,FCDB 6.1,742,"Liver, ox, raw",Calcium,4.15,6,3.44,4.88,0.135378,1015
10013,1089,FCDB 6.1,742,"Liver, ox, raw",Iron,6.05,48,3.2,13.3,0.374712,"1070, 1840"
10013,1090,FCDB 6.1,742,"Liver, ox, raw",Magnesium,21.0,4,18.0,23.0,0.113473,1348
10013,1091,FCDB 6.1,742,"Liver, ox, raw",Phosphorus,348.0,6,315.0,368.0,0.05942,1015
10013,1101,FCDB 6.1,742,"Liver, ox, raw",Manganese,0.38,4,0.32,0.46,0.175584,1348
10013,1103,FCDB 6.1,742,"Liver, ox, raw",Selenium,37.4,14,14.0,71.7,0.451752,1888
10013,1106,FCDB 6.1,742,"Liver, ox, raw",Retinol,15500.0,24,3100.0,36000.0,0.545117,1840
10013,1167,FCDB 6.1,742,"Liver, ox, raw",Niacin,17.0,10,15.0,19.0,0.076066,1018
10013,1175,FCDB 6.1,742,"Liver, ox, raw",Vitamin B6,1.0,4,0.992,1.1,0.051471,1025
10014,1003,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Protein,15.8479166666667,24,12.3036458333333,18.4911458333333,0.100269,"2068, 2131"
10014,1004,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Fat,18.325,12,11.9,24.1,0.203591,2131
10014,1007,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Ash,1.14125,24,0.81,2.1,0.290292,"2068, 2131"
10014,1051,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Water,64.6858333333333,24,59.11,69.1,0.039663,"2068, 2131"
10014,1087,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Calcium,8.68333333333333,12,6.1,11.0,0.172564,2131
10014,1089,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Iron,0.222,14,0.16,0.35,0.250609,"2068, 2131"
10014,1090,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Magnesium,25.5571428571429,14,23.0,28.0,0.057287,"2068, 2131"
10014,1091,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Phosphorus,218.785714285714,14,190.0,240.0,0.066919,"2068, 2131"
